Title,Year,Full_Title,Rating,Recently_Added,Order
Star Wars: Episode III - Revenge of the Sith,2005,Star Wars: Episode III - Revenge of the Sith (2005),nan,0,100
Taxi Driver,1976,Taxi Driver (1976),nan,0,101
Amélie,2001,Amélie (2001),nan,0,102
Black Swan,2010,Black Swan (2010),nan,0,103
City of God,2002,City of God (2002),nan,0,104
Man of Steel,2013,Man of Steel (2013),nan,0,105
The Grand Budapest Hotel,2014,The Grand Budapest Hotel (2014),nan,0,106
Spider-Man,2002,Spider-Man (2002),nan,0,107
Indiana Jones and the Last Crusade,1989,Indiana Jones and the Last Crusade (1989),nan,0,108
The Revenant,2015,The Revenant (2015),nan,0,109
Avengers: Endgame,2019,Avengers: Endgame (2019),nan,0,110
Whiplash,2014,Whiplash (2014),nan,0,111
Blade Runner,1982,Blade Runner (1982),nan,0,112
I Am Legend,2007,I Am Legend (2007),nan,0,113
"The Good, the Bad and the Ugly",1966,"The Good, the Bad and the Ugly (1966)",nan,0,114
Kill Bill: Vol. 2,2004,Kill Bill: Vol. 2 (2004),nan,0,115
The Imitation Game,2014,The Imitation Game (2014),nan,0,116
X-Men: Days of Future Past,2014,X-Men: Days of Future Past (2014),nan,0,117
12 Angry Men,1957,12 Angry Men (1957),nan,0,118
Silver Linings Playbook,2012,Silver Linings Playbook (2012),nan,0,119
Full Metal Jacket,1987,Full Metal Jacket (1987),nan,0,120
Joker,2019,Joker (2019),nan,0,121
How to Train Your Dragon,2010,How to Train Your Dragon (2010),nan,0,122
Pirates of the Caribbean: Dead Man's Chest,2006,Pirates of the Caribbean: Dead Man's Chest (2006),nan,0,123
X-Men: First Class,2011,X-Men: First Class (2011),nan,0,124
The Incredibles,2004,The Incredibles (2004),nan,0,125
Aliens,1986,Aliens (1986),nan,0,126
Captain America: Civil War,2016,Captain America: Civil War (2016),nan,0,127
District 9,2009,District 9 (2009),nan,0,128
The King's Speech,2010,The King's Speech (2010),nan,0,129
Trainspotting,1996,Trainspotting (1996),nan,0,130
Skyfall,2012,Skyfall (2012),nan,0,131
Star Wars: Episode II - Attack of the Clones,2002,Star Wars: Episode II - Attack of the Clones (2002),nan,0,132
Million Dollar Baby,2004,Million Dollar Baby (2004),nan,0,133
Ratatouille,2007,Ratatouille (2007),nan,0,134
12 Years a Slave,2013,12 Years a Slave (2013),nan,0,135
Logan,2017,Logan (2017),nan,0,136
Batman v Superman: Dawn of Justice,2016,Batman v Superman: Dawn of Justice (2016),nan,0,137
Harry Potter and the Sorcerer's Stone,2001,Harry Potter and the Sorcerer's Stone (2001),nan,0,138
Pan's Labyrinth,2006,Pan's Labyrinth (2006),nan,0,139
The Hunger Games: Catching Fire,2013,The Hunger Games: Catching Fire (2013),nan,0,140
The Bourne Ultimatum,2007,The Bourne Ultimatum (2007),nan,0,141
The Social Network,2010,The Social Network (2010),nan,0,142
Spirited Away,2001,Spirited Away (2001),nan,0,143
Shrek,2001,Shrek (2001),nan,0,144
Fargo,1996,Fargo (1996),nan,0,145
Transformers,2007,Transformers (2007),nan,0,146
The Hobbit: The Desolation of Smaug,2013,The Hobbit: The Desolation of Smaug (2013),nan,0,147
Life Is Beautiful,1997,Life Is Beautiful (1997),nan,0,148
Pirates of the Caribbean: At World's End,2007,Pirates of the Caribbean: At World's End (2007),nan,0,149
World War Z,2013,World War Z (2013),nan,0,150
Apocalypse Now,1979,Apocalypse Now (1979),nan,0,151
Now You See Me,2013,Now You See Me (2013),nan,0,152
Edge of Tomorrow,2014,Edge of Tomorrow (2014),nan,0,153
2001: A Space Odyssey,1968,2001: A Space Odyssey (1968),nan,0,154
Inside Out,2015,Inside Out (2015),nan,0,155
Star Trek,2009,Star Trek (2009),nan,0,156
Thor: The Dark World,2013,Thor: The Dark World (2013),nan,0,157
