Title,Year,Full_Title,Rating,Recently_Added,Order
She's the Man,2006,She's the Man (2006),nan,0,1278
Man on a Ledge,2012,Man on a Ledge (2012),nan,0,1279
Deepwater Horizon,2016,Deepwater Horizon (2016),nan,0,1280
Pandorum,2009,Pandorum (2009),nan,0,1281
Spy Game,2001,Spy Game (2001),nan,0,1282
Predator 2,1990,Predator 2 (1990),nan,0,1283
Mr. Brooks,2007,Mr. Brooks (2007),nan,0,1284
Commando,1985,Commando (1985),nan,0,1285
Legends of the Fall,1994,Legends of the Fall (1994),nan,0,1286
Dr. No,1962,Dr. No (1962),nan,0,1287
I Am Sam,2001,I Am Sam (2001),nan,0,1288
Barry Lyndon,1975,Barry Lyndon (1975),nan,0,1289
Punch-Drunk Love,2002,Punch-Drunk Love (2002),nan,0,1290
The Spectacular Now,2013,The Spectacular Now (2013),nan,0,1291
The Virgin Suicides,1999,The Virgin Suicides (1999),nan,0,1292
Puss in Boots,2011,Puss in Boots (2011),nan,0,1293
Wall Street,1987,Wall Street (1987),nan,0,1294
Rounders,1998,Rounders (1998),nan,0,1295
Wayne's World,1992,Wayne's World (1992),nan,0,1296
Cinderella,1950,Cinderella (1950),nan,0,1297
La Haine,1995,La Haine (1995),nan,0,1298
What We Do in the Shadows,2014,What We Do in the Shadows (2014),nan,0,1299
Young Frankenstein,1974,Young Frankenstein (1974),nan,0,1300
Bowling for Columbine,2002,Bowling for Columbine (2002),nan,0,1301
Brüno,2009,Brüno (2009),nan,0,1302
Idiocracy,2006,Idiocracy (2006),nan,0,1303
Network,1976,Network (1976),nan,0,1304
Green Street Hooligans,2005,Green Street Hooligans (2005),nan,0,1305
The Drop,2014,The Drop (2014),nan,0,1306
I Now Pronounce You Chuck & Larry,2007,I Now Pronounce You Chuck & Larry (2007),nan,0,1307
Bridge to Terabithia,2007,Bridge to Terabithia (2007),nan,0,1308
Dirty Harry,1971,Dirty Harry (1971),nan,0,1309
The Time Traveler's Wife,2009,The Time Traveler's Wife (2009),nan,0,1310
Unbroken,2014,Unbroken (2014),nan,0,1311
Pitch Perfect 2,2015,Pitch Perfect 2 (2015),nan,0,1312
The Way Way Back,2013,The Way Way Back (2013),nan,0,1313
Crank: High Voltage,2009,Crank: High Voltage (2009),nan,0,1314
London Has Fallen,2016,London Has Fallen (2016),nan,0,1315
The Running Man,1987,The Running Man (1987),nan,0,1316
Cold Mountain,2003,Cold Mountain (2003),nan,0,1317
Dangal,2016,Dangal (2016),nan,0,1318
The Grudge,2004,The Grudge (2004),nan,0,1319
"Honey, I Shrunk the Kids",1989,"Honey, I Shrunk the Kids (1989)",nan,0,1320
Saw IV,2007,Saw IV (2007),nan,0,1321
Starsky & Hutch,2004,Starsky & Hutch (2004),nan,0,1322
JFK,1991,JFK (1991),nan,0,1323
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,The Chronicles of Narnia: The Voyage of the Dawn Treader (2010),nan,0,1324
Poltergeist,1982,Poltergeist (1982),nan,0,1325
Bicycle Thieves,1948,Bicycle Thieves (1948),nan,0,1326
Begin Again,2013,Begin Again (2013),nan,0,1327
Memoirs of a Geisha,2005,Memoirs of a Geisha (2005),nan,0,1328
Lars and the Real Girl,2007,Lars and the Real Girl (2007),nan,0,1329
S.W.A.T.,2003,S.W.A.T. (2003),nan,0,1330
Evan Almighty,2007,Evan Almighty (2007),nan,0,1331
Nausicaä of the Valley of the Wind,1984,Nausicaä of the Valley of the Wind (1984),nan,0,1332
Smokin' Aces,2006,Smokin' Aces (2006),nan,0,1333
The Lake House,2006,The Lake House (2006),nan,0,1334
M,1931,M (1931),nan,0,1335
Castle in the Sky,1986,Castle in the Sky (1986),nan,0,1336
Double Indemnity,1944,Double Indemnity (1944),nan,0,1337
On the Waterfront,1954,On the Waterfront (1954),nan,0,1338
Grown Ups 2,2013,Grown Ups 2 (2013),nan,0,1339
Bee Movie,2007,Bee Movie (2007),nan,0,1340
The Hunchback of Notre Dame,1996,The Hunchback of Notre Dame (1996),nan,0,1341
Defiance,2008,Defiance (2008),nan,0,1342
Never Let Me Go,2010,Never Let Me Go (2010),nan,0,1343
Ad Astra,2019,Ad Astra (2019),nan,0,1344
Dear John,2010,Dear John (2010),nan,0,1345
Remember Me,2010,Remember Me (2010),nan,0,1346
Good Bye Lenin!,2003,Good Bye Lenin! (2003),nan,0,1347
Allied,2016,Allied (2016),nan,0,1348
Incendies,2010,Incendies (2010),nan,0,1349
Scary Movie 3,2003,Scary Movie 3 (2003),nan,0,1350
Annabelle,2014,Annabelle (2014),nan,0,1351
Conan the Barbarian,1982,Conan the Barbarian (1982),nan,0,1352
Knives Out,2019,Knives Out (2019),nan,0,1353
One Day,2011,One Day (2011),nan,0,1354
Ray,2004,Ray (2004),nan,0,1355
Four Weddings and a Funeral,1994,Four Weddings and a Funeral (1994),nan,0,1356
"Dude, Where's My Car?",2000,"Dude, Where's My Car? (2000)",nan,0,1357
Winter's Bone,2010,Winter's Bone (2010),nan,0,1358
Mr. Deeds,2002,Mr. Deeds (2002),nan,0,1359
Dogville,2003,Dogville (2003),nan,0,1360
Spring Breakers,2012,Spring Breakers (2012),nan,0,1361
Bad Santa,2003,Bad Santa (2003),nan,0,1362
The Purge: Anarchy,2014,The Purge: Anarchy (2014),nan,0,1363
State of Play,2009,State of Play (2009),nan,0,1364
Last Action Hero,1993,Last Action Hero (1993),nan,0,1365
Fast & Furious Presents: Hobbs & Shaw,2019,Fast & Furious Presents: Hobbs & Shaw (2019),nan,0,1366
We Bought a Zoo,2011,We Bought a Zoo (2011),nan,0,1367
The Meg,2018,The Meg (2018),nan,0,1368
Kindergarten Cop,1990,Kindergarten Cop (1990),nan,0,1369
Blue Is the Warmest Color,2013,Blue Is the Warmest Color (2013),nan,0,1370
Inside Llewyn Davis,2013,Inside Llewyn Davis (2013),nan,0,1371
It's Kind of a Funny Story,2010,It's Kind of a Funny Story (2010),nan,0,1372
Foxcatcher,2014,Foxcatcher (2014),nan,0,1373
The Last Stand,2013,The Last Stand (2013),nan,0,1374
Before Midnight,2013,Before Midnight (2013),nan,0,1375
The Skin I Live In,2011,The Skin I Live In (2011),nan,0,1376
Monster,2003,Monster (2003),nan,0,1377
Carrie,2013,Carrie (2013),nan,0,1378
We Need to Talk About Kevin,2011,We Need to Talk About Kevin (2011),nan,0,1379
9,2009,9 (2009),nan,0,1380
The Wedding Singer,1998,The Wedding Singer (1998),nan,0,1381
The Gift,2015,The Gift (2015),nan,0,1382
Fun with Dick and Jane,2005,Fun with Dick and Jane (2005),nan,0,1383
Snakes on a Plane,2006,Snakes on a Plane (2006),nan,0,1384
Jack Reacher: Never Go Back,2016,Jack Reacher: Never Go Back (2016),nan,0,1385
Four Brothers,2005,Four Brothers (2005),nan,0,1386
Chasing Amy,1997,Chasing Amy (1997),nan,0,1387
Resident Evil: Retribution,2012,Resident Evil: Retribution (2012),nan,0,1388
Tower Heist,2011,Tower Heist (2011),nan,0,1389
The Constant Gardener,2005,The Constant Gardener (2005),nan,0,1390
Trading Places,1983,Trading Places (1983),nan,0,1391
Sleeping Beauty,1959,Sleeping Beauty (1959),nan,0,1392
Harold & Kumar Escape from Guantanamo Bay,2008,Harold & Kumar Escape from Guantanamo Bay (2008),nan,0,1393
I Know What You Did Last Summer,1997,I Know What You Did Last Summer (1997),nan,0,1394
Payback,1999,Payback (1999),nan,0,1395
The Texas Chain Saw Massacre,1974,The Texas Chain Saw Massacre (1974),nan,0,1396
Rampage,2018,Rampage (2018),nan,0,1397
Clerks II,2006,Clerks II (2006),nan,0,1398
Thelma & Louise,1991,Thelma & Louise (1991),nan,0,1399
Gamer,2009,Gamer (2009),nan,0,1400
Into the Woods,2014,Into the Woods (2014),nan,0,1401
Jack the Giant Slayer,2013,Jack the Giant Slayer (2013),nan,0,1402
Killing Them Softly,2012,Killing Them Softly (2012),nan,0,1403
A Christmas Story,1983,A Christmas Story (1983),nan,0,1404
Magic Mike,2012,Magic Mike (2012),nan,0,1405
Transformers: The Last Knight,2017,Transformers: The Last Knight (2017),nan,0,1406
Robots,2005,Robots (2005),nan,0,1407
The Recruit,2003,The Recruit (2003),nan,0,1408
The Other Woman,2014,The Other Woman (2014),nan,0,1409
Locke,2013,Locke (2013),nan,0,1410
The Scorpion King,2002,The Scorpion King (2002),nan,0,1411
A Serious Man,2009,A Serious Man (2009),nan,0,1412
The Texas Chainsaw Massacre,2003,The Texas Chainsaw Massacre (2003),nan,0,1413
Snowden,2016,Snowden (2016),nan,0,1414
The Rocky Horror Picture Show,1975,The Rocky Horror Picture Show (1975),nan,0,1415
A Fish Called Wanda,1988,A Fish Called Wanda (1988),nan,0,1416
Lara Croft Tomb Raider: The Cradle of Life,2003,Lara Croft Tomb Raider: The Cradle of Life (2003),nan,0,1417
Upgrade,2018,Upgrade (2018),nan,0,1418
Manhattan,1979,Manhattan (1979),nan,0,1419
The Negotiator,1998,The Negotiator (1998),nan,0,1420
Green Zone,2010,Green Zone (2010),nan,0,1421
An Education,2009,An Education (2009),nan,0,1422
Billy Madison,1995,Billy Madison (1995),nan,0,1423
Trainwreck,2015,Trainwreck (2015),nan,0,1424
Devil,2010,Devil (2010),nan,0,1425
The NeverEnding Story,1984,The NeverEnding Story (1984),nan,0,1426
We Were Soldiers,2002,We Were Soldiers (2002),nan,0,1427
Final Destination 3,2006,Final Destination 3 (2006),nan,0,1428
Pixels,2015,Pixels (2015),nan,0,1429
Horton Hears a Who!,2008,Horton Hears a Who! (2008),nan,0,1430
The Mortal Instruments: City of Bones,2013,The Mortal Instruments: City of Bones (2013),nan,0,1431
Last Vegas,2013,Last Vegas (2013),nan,0,1432
Fahrenheit 9/11,2004,Fahrenheit 9/11 (2004),nan,0,1433
Let's Be Cops,2014,Let's Be Cops (2014),nan,0,1434
The Men Who Stare at Goats,2009,The Men Who Stare at Goats (2009),nan,0,1435
Bambi,1942,Bambi (1942),nan,0,1436
16 Blocks,2006,16 Blocks (2006),nan,0,1437
Kramer vs. Kramer,1979,Kramer vs. Kramer (1979),nan,0,1438
The Count of Monte Cristo,2002,The Count of Monte Cristo (2002),nan,0,1439
Kung Fu Panda 3,2016,Kung Fu Panda 3 (2016),nan,0,1440
A Time to Kill,1996,A Time to Kill (1996),nan,0,1441
This Is Spinal Tap,1984,This Is Spinal Tap (1984),nan,0,1442
The Lego Batman Movie,2017,The Lego Batman Movie (2017),nan,0,1443
Sing,2016,Sing (2016),nan,0,1444
White Chicks,2004,White Chicks (2004),nan,0,1445
Shallow Hal,2001,Shallow Hal (2001),nan,0,1446
Crimson Peak,2015,Crimson Peak (2015),nan,0,1447
The Addams Family,1991,The Addams Family (1991),nan,0,1448
Lost Highway,1997,Lost Highway (1997),nan,0,1449
Dumb and Dumber To,2014,Dumb and Dumber To (2014),nan,0,1450
Syriana,2005,Syriana (2005),nan,0,1451
Wonder,2017,Wonder (2017),nan,0,1452
Train to Busan,2016,Train to Busan (2016),nan,0,1453
The Disaster Artist,2017,The Disaster Artist (2017),nan,0,1454
The Kids Are All Right,2010,The Kids Are All Right (2010),nan,0,1455
Brooklyn,2015,Brooklyn (2015),nan,0,1456
Pinocchio,1940,Pinocchio (1940),nan,0,1457
"10,000 BC",2008,"10,000 BC (2008)",nan,0,1458
The Book Thief,2013,The Book Thief (2013),nan,0,1459
Scream 4,2011,Scream 4 (2011),nan,0,1460
X-Men: Dark Phoenix,2019,X-Men: Dark Phoenix (2019),nan,0,1461
Reign of Fire,2002,Reign of Fire (2002),nan,0,1462
Joy,2015,Joy (2015),nan,0,1463
Roma,2018,Roma (2018),nan,0,1464
My Best Friend's Wedding,1997,My Best Friend's Wedding (1997),nan,0,1465
This Is 40,2012,This Is 40 (2012),nan,0,1466
Mad Max Beyond Thunderdome,1985,Mad Max Beyond Thunderdome (1985),nan,0,1467
Isle of Dogs,2018,Isle of Dogs (2018),nan,0,1468
Along Came Polly,2004,Along Came Polly (2004),nan,0,1469
Alice in Wonderland,1951,Alice in Wonderland (1951),nan,0,1470
The Campaign,2012,The Campaign (2012),nan,0,1471
Æon Flux,2005,Æon Flux (2005),nan,0,1472
Still Alice,2014,Still Alice (2014),nan,0,1473
Miller's Crossing,1990,Miller's Crossing (1990),nan,0,1474
Rocky V,1990,Rocky V (1990),nan,0,1475
A Bronx Tale,1993,A Bronx Tale (1993),nan,0,1476
Roman Holiday,1953,Roman Holiday (1953),nan,0,1477
The Princess Diaries,2001,The Princess Diaries (2001),nan,0,1478
Kung Fu Hustle,2004,Kung Fu Hustle (2004),nan,0,1479
The Break-Up,2006,The Break-Up (2006),nan,0,1480
Ghost in the Shell,1995,Ghost in the Shell (1995),nan,0,1481
She's Out of My League,2010,She's Out of My League (2010),nan,0,1482
The Monuments Men,2014,The Monuments Men (2014),nan,0,1483
Capote,2005,Capote (2005),nan,0,1484
Killer Elite,2011,Killer Elite (2011),nan,0,1485
Matchstick Men,2003,Matchstick Men (2003),nan,0,1486
Raising Arizona,1987,Raising Arizona (1987),nan,0,1487
Billy Elliot,2000,Billy Elliot (2000),nan,0,1488
"Good Morning, Vietnam",1987,"Good Morning, Vietnam (1987)",nan,0,1489
Rope,1948,Rope (1948),nan,0,1490
Wallace & Gromit: The Curse of the Were-Rabbit,2005,Wallace & Gromit: The Curse of the Were-Rabbit (2005),nan,0,1491
The Hours,2002,The Hours (2002),nan,0,1492
Blazing Saddles,1974,Blazing Saddles (1974),nan,0,1493
Stuart Little,1999,Stuart Little (1999),nan,0,1494
Man on the Moon,1999,Man on the Moon (1999),nan,0,1495
Max Payne,2008,Max Payne (2008),nan,0,1496
Under the Skin,2013,Under the Skin (2013),nan,0,1497
About Schmidt,2002,About Schmidt (2002),nan,0,1498
Identity Thief,2013,Identity Thief (2013),nan,0,1499
Eragon,2006,Eragon (2006),nan,0,1500
Tombstone,1993,Tombstone (1993),nan,0,1501
Daybreakers,2009,Daybreakers (2009),nan,0,1502
The Post,2017,The Post (2017),nan,0,1503
8MM,1999,8MM (1999),nan,0,1504
Accepted,2006,Accepted (2006),nan,0,1505
Deep Blue Sea,1999,Deep Blue Sea (1999),nan,0,1506
Freaky Friday,2003,Freaky Friday (2003),nan,0,1507
J. Edgar,2011,J. Edgar (2011),nan,0,1508
John Q,2002,John Q (2002),nan,0,1509
Scream 3,2000,Scream 3 (2000),nan,0,1510
Seven Years in Tibet,1997,Seven Years in Tibet (1997),nan,0,1511
Peter Pan,1953,Peter Pan (1953),nan,0,1512
The Watch,2012,The Watch (2012),nan,0,1513
Jack Ryan: Shadow Recruit,2014,Jack Ryan: Shadow Recruit (2014),nan,0,1514
Savages,2012,Savages (2012),nan,0,1515
Searching,2018,Searching (2018),nan,0,1516
Hollow Man,2000,Hollow Man (2000),nan,0,1517
The Dark Tower,2017,The Dark Tower (2017),nan,0,1518
The Great Wall,2016,The Great Wall (2016),nan,0,1519
Crazy Rich Asians,2018,Crazy Rich Asians (2018),nan,0,1520
Matilda,1996,Matilda (1996),nan,0,1521
Labyrinth,1986,Labyrinth (1986),nan,0,1522
Bumblebee,2018,Bumblebee (2018),nan,0,1523
Strangers on a Train,1951,Strangers on a Train (1951),nan,0,1524
Molly's Game,2017,Molly's Game (2017),nan,0,1525
Coach Carter,2005,Coach Carter (2005),nan,0,1526
Pleasantville,1998,Pleasantville (1998),nan,0,1527
Spartacus,1960,Spartacus (1960),nan,0,1528
Big Trouble in Little China,1986,Big Trouble in Little China (1986),nan,0,1529
Escape from New York,1981,Escape from New York (1981),nan,0,1530
Me and Earl and the Dying Girl,2015,Me and Earl and the Dying Girl (2015),nan,0,1531
Doubt,2008,Doubt (2008),nan,0,1532
Boyz n the Hood,1991,Boyz n the Hood (1991),nan,0,1533
The Bounty Hunter,2010,The Bounty Hunter (2010),nan,0,1534
Charlie's Angels: Full Throttle,2003,Charlie's Angels: Full Throttle (2003),nan,0,1535
Life as We Know It,2010,Life as We Know It (2010),nan,0,1536
Highlander,1986,Highlander (1986),nan,0,1537
Awakenings,1990,Awakenings (1990),nan,0,1538
The Lost Boys,1987,The Lost Boys (1987),nan,0,1539
Papillon,1973,Papillon (1973),nan,0,1540
Hall Pass,2011,Hall Pass (2011),nan,0,1541
Australia,2008,Australia (2008),nan,0,1542
Rambo III,1988,Rambo III (1988),nan,0,1543
The Score,2001,The Score (2001),nan,0,1544
"Hail, Caesar!",2016,"Hail, Caesar! (2016)",nan,0,1545
My Big Fat Greek Wedding,2002,My Big Fat Greek Wedding (2002),nan,0,1546
The Thing,2011,The Thing (2011),nan,0,1547
Glory,1989,Glory (1989),nan,0,1548
Evolution,2001,Evolution (2001),nan,0,1549
Hairspray,2007,Hairspray (2007),nan,0,1550
"Planes, Trains & Automobiles",1987,"Planes, Trains & Automobiles (1987)",nan,0,1551
The Time Machine,2002,The Time Machine (2002),nan,0,1552
Get Hard,2015,Get Hard (2015),nan,0,1553
Dune,1984,Dune (1984),nan,0,1554
The Princess and the Frog,2009,The Princess and the Frog (2009),nan,0,1555
Lady and the Tramp,1955,Lady and the Tramp (1955),nan,0,1556
Shanghai Noon,2000,Shanghai Noon (2000),nan,0,1557
Cliffhanger,1993,Cliffhanger (1993),nan,0,1558
Rebecca,1940,Rebecca (1940),nan,0,1559
Johnny English Reborn,2011,Johnny English Reborn (2011),nan,0,1560
Carnage,2011,Carnage (2011),nan,0,1561
Logan Lucky,2017,Logan Lucky (2017),nan,0,1562
The Kingdom,2007,The Kingdom (2007),nan,0,1563
Infernal Affairs,2002,Infernal Affairs (2002),nan,0,1564
Safety Not Guaranteed,2012,Safety Not Guaranteed (2012),nan,0,1565
The Exorcism of Emily Rose,2005,The Exorcism of Emily Rose (2005),nan,0,1566
Wild,2014,Wild (2014),nan,0,1567
Ransom,1996,Ransom (1996),nan,0,1568
Bronson,2008,Bronson (2008),nan,0,1569
Flags of Our Fathers,2006,Flags of Our Fathers (2006),nan,0,1570
The Walk,2015,The Walk (2015),nan,0,1571
All About Eve,1950,All About Eve (1950),nan,0,1572
Contraband,2012,Contraband (2012),nan,0,1573
Star Trek: First Contact,1996,Star Trek: First Contact (1996),nan,0,1574
What Lies Beneath,2000,What Lies Beneath (2000),nan,0,1575
The Strangers,2008,The Strangers (2008),nan,0,1576
R.I.P.D.,2013,R.I.P.D. (2013),nan,0,1577
The 6th Day,2000,The 6th Day (2000),nan,0,1578
In the Heart of the Sea,2015,In the Heart of the Sea (2015),nan,0,1579
The Brothers Grimm,2005,The Brothers Grimm (2005),nan,0,1580
Dumbo,1941,Dumbo (1941),nan,0,1581
The Parent Trap,1998,The Parent Trap (1998),nan,0,1582
The 13th Warrior,1999,The 13th Warrior (1999),nan,0,1583
The Equalizer 2,2018,The Equalizer 2 (2018),nan,0,1584
Sex and the City,2008,Sex and the City (2008),nan,0,1585
The Shallows,2016,The Shallows (2016),nan,0,1586
Casper,1995,Casper (1995),nan,0,1587
The Invention of Lying,2009,The Invention of Lying (2009),nan,0,1588
Tremors,1990,Tremors (1990),nan,0,1589
The Phantom of the Opera,2004,The Phantom of the Opera (2004),nan,0,1590
The Bodyguard,1992,The Bodyguard (1992),nan,0,1591
Pokémon Detective Pikachu,2019,Pokémon Detective Pikachu (2019),nan,0,1592
Aliens vs. Predator: Requiem,2007,Aliens vs. Predator: Requiem (2007),nan,0,1593
This Is England,2006,This Is England (2006),nan,0,1594
Babe,1995,Babe (1995),nan,0,1595
Mallrats,1995,Mallrats (1995),nan,0,1596
The Prince of Egypt,1998,The Prince of Egypt (1998),nan,0,1597
In the Mood for Love,2000,In the Mood for Love (2000),nan,0,1598
Memories of Murder,2003,Memories of Murder (2003),nan,0,1599
Ponyo,2008,Ponyo (2008),nan,0,1600
Irréversible,2002,Irréversible (2002),nan,0,1601
Wild Hogs,2007,Wild Hogs (2007),nan,0,1602
Ralph Breaks the Internet,2018,Ralph Breaks the Internet (2018),nan,0,1603
Friday the 13th,1980,Friday the 13th (1980),nan,0,1604
"Love, Rosie",2014,"Love, Rosie (2014)",nan,0,1605
Funny People,2009,Funny People (2009),nan,0,1606
Nymphomaniac: Vol. I,2013,Nymphomaniac: Vol. I (2013),nan,0,1607
Bad Times at the El Royale,2018,Bad Times at the El Royale (2018),nan,0,1608
If I Stay,2014,If I Stay (2014),nan,0,1609
Oculus,2013,Oculus (2013),nan,0,1610
House of Wax,2005,House of Wax (2005),nan,0,1611
Blended,2014,Blended (2014),nan,0,1612
Priest,2011,Priest (2011),nan,0,1613
Robin Hood: Men in Tights,1993,Robin Hood: Men in Tights (1993),nan,0,1614
The Big Sick,2017,The Big Sick (2017),nan,0,1615
Kubo and the Two Strings,2016,Kubo and the Two Strings (2016),nan,0,1616
Antichrist,2009,Antichrist (2009),nan,0,1617
One Hour Photo,2002,One Hour Photo (2002),nan,0,1618
The Firm,1993,The Firm (1993),nan,0,1619
Margin Call,2011,Margin Call (2011),nan,0,1620
Y Tu Mamá También,2001,Y Tu Mamá También (2001),nan,0,1621
Saw V,2008,Saw V (2008),nan,0,1622
From Russia with Love,1963,From Russia with Love (1963),nan,0,1623
Mr. Bean's Holiday,2007,Mr. Bean's Holiday (2007),nan,0,1624
Let Me In,2010,Let Me In (2010),nan,0,1625
Leaving Las Vegas,1995,Leaving Las Vegas (1995),nan,0,1626
Jennifer's Body,2009,Jennifer's Body (2009),nan,0,1627
City of Angels,1998,City of Angels (1998),nan,0,1628
Scary Movie 4,2006,Scary Movie 4 (2006),nan,0,1629
Night of the Living Dead,1968,Night of the Living Dead (1968),nan,0,1630
Tears of the Sun,2003,Tears of the Sun (2003),nan,0,1631
Valentine's Day,2010,Valentine's Day (2010),nan,0,1632
Pay It Forward,2000,Pay It Forward (2000),nan,0,1633
Empire of the Sun,1987,Empire of the Sun (1987),nan,0,1634
From Paris with Love,2010,From Paris with Love (2010),nan,0,1635
Ghost World,2001,Ghost World (2001),nan,0,1636
Escape from Alcatraz,1979,Escape from Alcatraz (1979),nan,0,1637
Sicario: Day of the Soldado,2018,Sicario: Day of the Soldado (2018),nan,0,1638
TRON,1982,TRON (1982),nan,0,1639
13 Hours,2016,13 Hours (2016),nan,0,1640
I Origins,2014,I Origins (2014),nan,0,1641
The Meaning of Life,1983,The Meaning of Life (1983),nan,0,1642
Any Given Sunday,1999,Any Given Sunday (1999),nan,0,1643
Parker,2013,Parker (2013),nan,0,1644
Robin Hood,1973,Robin Hood (1973),nan,0,1645
Red Eye,2005,Red Eye (2005),nan,0,1646
The Raid 2,2014,The Raid 2 (2014),nan,0,1647
A Walk Among the Tombstones,2014,A Walk Among the Tombstones (2014),nan,0,1648
Nebraska,2013,Nebraska (2013),nan,0,1649
Star Trek II: The Wrath of Khan,1982,Star Trek II: The Wrath of Khan (1982),nan,0,1650
The Giver,2014,The Giver (2014),nan,0,1651
Journey to the Center of the Earth,2008,Journey to the Center of the Earth (2008),nan,0,1652
Water for Elephants,2011,Water for Elephants (2011),nan,0,1653
The Host,2013,The Host (2013),nan,0,1654
Nerve,2016,Nerve (2016),nan,0,1655
Twins,1988,Twins (1988),nan,0,1656
Neighbors 2: Sorority Rising,2016,Neighbors 2: Sorority Rising (2016),nan,0,1657
National Lampoon's Animal House,1978,National Lampoon's Animal House (1978),nan,0,1658
Barton Fink,1991,Barton Fink (1991),nan,0,1659
The Treasure of the Sierra Madre,1948,The Treasure of the Sierra Madre (1948),nan,0,1660
Once,2007,Once (2007),nan,0,1661
Police Academy,1984,Police Academy (1984),nan,0,1662
Premium Rush,2012,Premium Rush (2012),nan,0,1663
Bad Moms,2016,Bad Moms (2016),nan,0,1664
Trance,2013,Trance (2013),nan,0,1665
The Crazies,2010,The Crazies (2010),nan,0,1666
The Call,2013,The Call (2013),nan,0,1667
Step Up,2006,Step Up (2006),nan,0,1668
Flushed Away,2006,Flushed Away (2006),nan,0,1669
Something's Gotta Give,2003,Something's Gotta Give (2003),nan,0,1670
The Visit,2015,The Visit (2015),nan,0,1671
Ghost Rider: Spirit of Vengeance,2011,Ghost Rider: Spirit of Vengeance (2011),nan,0,1672
The Founder,2016,The Founder (2016),nan,0,1673
Dirty Grandpa,2016,Dirty Grandpa (2016),nan,0,1674
Lights Out,2016,Lights Out (2016),nan,0,1675
Midsommar,2019,Midsommar (2019),nan,0,1676
Freddy vs. Jason,2003,Freddy vs. Jason (2003),nan,0,1677
Dawn of the Dead,1978,Dawn of the Dead (1978),nan,0,1678
The Predator,2018,The Predator (2018),nan,0,1679
Carol,2015,Carol (2015),nan,0,1680
Judge Dredd,1995,Judge Dredd (1995),nan,0,1681
The Faculty,1998,The Faculty (1998),nan,0,1682
Brothers,2009,Brothers (2009),nan,0,1683
Godzilla: King of the Monsters,2019,Godzilla: King of the Monsters (2019),nan,0,1684
Anastasia,1997,Anastasia (1997),nan,0,1685
Miami Vice,2006,Miami Vice (2006),nan,0,1686
The Whole Nine Yards,2000,The Whole Nine Yards (2000),nan,0,1687
Catwoman,2004,Catwoman (2004),nan,0,1688
Jeepers Creepers,2001,Jeepers Creepers (2001),nan,0,1689
A Simple Favor,2018,A Simple Favor (2018),nan,0,1690
The Jacket,2005,The Jacket (2005),nan,0,1691
The Family,2013,The Family (2013),nan,0,1692
Bicentennial Man,1999,Bicentennial Man (1999),nan,0,1693
Halloween,2007,Halloween (2007),nan,0,1694
Percy Jackson: Sea of Monsters,2013,Percy Jackson: Sea of Monsters (2013),nan,0,1695
Halloween,2018,Halloween (2018),nan,0,1696
Rat Race,2001,Rat Race (2001),nan,0,1697
The Nutty Professor,1996,The Nutty Professor (1996),nan,0,1698
Death at a Funeral,2007,Death at a Funeral (2007),nan,0,1699
Lee Daniels' The Butler,2013,Lee Daniels' The Butler (2013),nan,0,1700
The Way Back,2010,The Way Back (2010),nan,0,1701
Street Kings,2008,Street Kings (2008),nan,0,1702
Charlie Wilson's War,2007,Charlie Wilson's War (2007),nan,0,1703
Pirate Radio,2009,Pirate Radio (2009),nan,0,1704
Red Riding Hood,2011,Red Riding Hood (2011),nan,0,1705
House of Flying Daggers,2004,House of Flying Daggers (2004),nan,0,1706
The Dreamers,2003,The Dreamers (2003),nan,0,1707
Kiki's Delivery Service,1989,Kiki's Delivery Service (1989),nan,0,1708
Rang De Basanti,2006,Rang De Basanti (2006),nan,0,1709
The Life of David Gale,2003,The Life of David Gale (2003),nan,0,1710
The Nun,2018,The Nun (2018),nan,0,1711
Bill & Ted's Excellent Adventure,1989,Bill & Ted's Excellent Adventure (1989),nan,0,1712
Stalker,1979,Stalker (1979),nan,0,1713
Hostage,2005,Hostage (2005),nan,0,1714
Seeking a Friend for the End of the World,2012,Seeking a Friend for the End of the World (2012),nan,0,1715
Wrong Turn,2003,Wrong Turn (2003),nan,0,1716
The Fall,2006,The Fall (2006),nan,0,1717
Ran,1985,Ran (1985),nan,0,1718
T2 Trainspotting,2017,T2 Trainspotting (2017),nan,0,1719
Wild Things,1998,Wild Things (1998),nan,0,1720
The Kid,1921,The Kid (1921),nan,0,1721
Across the Universe,2007,Across the Universe (2007),nan,0,1722
Sex Tape,2014,Sex Tape (2014),nan,0,1723
Only God Forgives,2013,Only God Forgives (2013),nan,0,1724
Men of Honor,2000,Men of Honor (2000),nan,0,1725
Outbreak,1995,Outbreak (1995),nan,0,1726
Spy Kids,2001,Spy Kids (2001),nan,0,1727
The French Connection,1971,The French Connection (1971),nan,0,1728
Coyote Ugly,2000,Coyote Ugly (2000),nan,0,1729
A Scanner Darkly,2006,A Scanner Darkly (2006),nan,0,1730
Pompeii,2014,Pompeii (2014),nan,0,1731
Entrapment,1999,Entrapment (1999),nan,0,1732
Field of Dreams,1989,Field of Dreams (1989),nan,0,1733
Gothika,2003,Gothika (2003),nan,0,1734
Yojimbo,1961,Yojimbo (1961),nan,0,1735
Push,2009,Push (2009),nan,0,1736
End of Days,1999,End of Days (1999),nan,0,1737
